# qnx_gles2_bench_version=1
# gl_vendor=Qualcomm
# gl_renderer=Adreno (TM) 320
# gl_version=OpenGL ES 2.0 3929146
# surface=1024x480
# render=480x272
# requested_buffers=3
# actual_render_buffers=3
# routed=0
# cpu_affinity=-1
# timer=ClockCycles
# timer_cycles_per_second=6750000
# timer_syspage_raw=28991029248000000
# timer_tick_shift=32
scenario,samples,work_per_sample,work_unit,call_mean_ms,call_p50_ms,call_p95_ms,finish_mean_ms,finish_p95_ms,total_mean_ms,total_p95_ms,total_max_ms,work_per_second,gl_errors
clear,30,130560,pixels,0.0649,0.0591,0.1098,1.2192,3.8893,1.2841,3.9430,14.9044,101674068.417,0
draw_100,30,100,draws,0.5057,0.4950,0.5936,3.2405,14.8403,3.7461,15.3433,15.6361,26694.089,0
draw_500,30,500,draws,2.2892,2.1347,3.4274,4.6551,16.5727,6.9444,18.6172,19.3329,72000.926,0
draw_1000,30,1000,draws,4.9480,4.6729,6.2984,5.5913,17.1910,10.5394,21.8670,25.3834,94882.177,0
uniform_1000x4,30,1000,draws,16.0887,16.1923,19.7236,6.8522,16.1236,22.9409,32.7621,37.5373,43590.235,0
texture_1000,30,1000,draws,15.9389,15.4895,21.0110,7.1224,15.7652,23.0613,32.5569,34.6868,43362.712,0
state_1000,30,1000,draws,8.6092,8.4055,11.2044,8.3126,17.2590,16.9218,25.2711,30.8599,59095.413,0
ppsspp_like,30,1000,draws,18.2674,17.8342,22.1727,6.7917,18.0747,25.0591,38.6311,39.7277,39905.670,0
fill_1x,30,130560,pixels,0.1057,0.0938,0.1532,2.7154,7.9618,2.8211,8.1150,18.0116,46279563.467,0
fill_8x,30,1044480,pixels,0.1454,0.1440,0.2033,3.6951,16.4917,3.8404,16.6330,16.8757,271969259.447,0
fill_32x,30,4177920,pixels,0.2813,0.2647,0.4314,9.0224,21.2550,9.3037,21.5136,32.5639,449062279.707,0
upload_4mb,30,4194304,bytes,3.4584,3.2468,4.8698,2.5295,16.3717,5.9879,19.6185,20.1646,700464913.109,0
readback,30,522240,bytes,2.3433,1.6124,3.9400,1.5142,4.6547,3.8575,16.1787,18.1344,135381777.702,0
swap,30,1,frames,6.1495,5.0443,13.4489,3.4182,14.9810,9.5678,22.9797,34.8763,104.517,0
