Time             Sev Major Minor Args
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:18    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:18    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:18    5 10113     1 HB: T=49C, CPU=89%, Free mem=730MB
Jan 01 00:07:18    5 10113     1 HB: proc/boot/procnto-smp-instr (1) 33.53%: n/a, n/a, n/a, n/a

Jan 01 00:07:18    5 10113     1 HB: armle/bin/videoCore (1142862) 5.02%: vcdWorker (8) 1.55% [30], Vdec2 (12) 0.73% [15], Vdec1 (6) 0.62% [10], waitfor_diag (3) 0.48% [10]

Jan 01 00:07:18    5 10113     1 HB: mnt/app/armle/usr/sbin/mcd (946259) 8.31%: unnamed thread (8) 1.18% [10], unnamed thread (2) 0.67% [10], unnamed thread (3) 0.61% [10], unnamed thread (6) 0.61% [10]

Jan 01 00:07:18    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:18    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:18    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:18    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:18    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:18    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:18    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:19    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:19    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:19    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:20    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:20    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:20    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:21    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:21    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:21    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:21    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:21    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:21    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:21    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:21    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:21    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:21    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: io_close: id=3, handle=-1, rcvID=-1
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: io_open: id=3, flags=0x00008002
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL:Queue has been flushed. First Packet cleared
Jan 01 00:07:21    5 20002     0 devp-iso-mmx[isoTX2]: DEVCTL: START: Max queue size set to 12032 (64 blocks)
Jan 01 00:07:21    6 10100     1 [refresh_tool] actual counter  = 42, global counter  = 42
Jan 01 00:07:21    6 10100     1 [refresh_tool][state_machine] actual state: REFRESH_STATE_IDLE, transition: REFRESH_TRANSITION_CHECK_CONDITIONS, new state: REFRESH_STATE_IDLE
Jan 01 00:07:21    5 16013   1459 vpeCore[wait.c:43]: [Resource_BlockWait] /dev/mmpm already available !
Jan 01 00:07:21    5 16303     1 vpeCore[smmu_lib.c:388]: Waiting for events from the Server
